Mix Number,7 Day Compressive Strength (PSI),14 Day Compressive Strength (PSI),28 Day Compressive Strength (PSI),90 Day Compressive Strength (PSI), 7 Day Modulus of Rupture (PSI),14 Day Modulus of Rupture (PSI),28 Day Modulus of Rupture (PSI),90 Day Modulus of Rupture (PSI),7 Day Modulus of Elasticity (PSI),14 Day Modulus of Elasticity (PSI),28 Day Modulus of Elasticity (PSI),90 Day Modulus of Elasticity (PSI),7 Day Poisson's Ratio,14 DayPoisson's Ratio,28 Day Poisson's Ratio,90 Day Poisson's Ratio,7 Day Splitting Tensile Strength (PSI),14 Day Splitting Tensile Strength (PSI),28 Day Splitting Tensile Strength (PSI),90 Day Splitting Tensile Strength (PSI),28 Day Coefficient of Thermal Expansion (mm/mm/C),Mix Proportion Grade,Cement,SCM,Fine Aggregate,Coarse Aggregate,"AEA, Batch A (mL)","AEA, Batch B (mL)","% Air, Batch A","% Air, Batch B","Slump, Batch A (in)","Slump, Batch B (in)","Water Cement Ratio, Batch A (fraction)","Water Cement Ratio, Batch B (fraction)","Water Reducing Admixture, Batch A (mL)","Water Reducing Admixture, Batch B (mL)",REFERENCE: author
1,4365,4878,5307,6166,606,684,676,817,3914333,4475333,4682333,4865667,0.18,0.19,0.19,0.18,411,438,442,497,9.34E-06,A,Cement 1,,Sand A,GG1,12,12,6,5.7,2.25,2.25,0.4,0.4,50,50,Cramer
2,3734,4350,4686,5475,623,605,675,829,3667000,3657167,3754500,4223333,0.19,0.2,0.19,0.21,426,436,433,457,9.78E-06,A,Cement 1,,Sand A,GG2,11,10,6.2,6,2.75,3,0.4,0.4,65,65,Cramer
3,3764,4012,4433,4898,644,665,758,816,3707000,3991000,3945667,4701500,0.19,0.2,0.19,0.19,317,331,384,472,9.18E-06,A,Cement 1,,Sand A,GG3,12,13,4.3,6.2,1.25,2.25,0.4,0.4,60,70,Cramer
4,4319,4657,5042,5727,613,630,682,734,4385667,4419000,4847000,4968000,0.17,0.18,0.18,0.18,420,433,450,502,8.67E-06,A,Cement 1,,Sand A,GG4,11,11,5.7,4.7,2.75,2,0.4,0.4,60,55,Cramer
5,5054,5852,6081,6770,631,688,782,904,4077833,4354333,4628000,4953000,0.22,0.23,0.21,0.23,466,500,525,506,9.58E-06,A,Cement 1,,Sand A,GG5,9,7,5.1,5.7,1.25,1.25,0.4,0.4,120,70,Cramer
6,3553,4041,4472,5088,612,613,666,804,2838333,3051500,3329667,4641833,0.15,0.17,0.18,0.22,325,337,373,427,9.50E-06,A,Cement 1,,Sand A,GG6,12,12,5.3,4.4,2.25,1.75,0.4,0.4,60,55,Cramer
7,4013,4504,4855,5620,672,646,719,772,3416500,3841333,3798667,4360000,0.18,0.2,0.2,0.21,385,416,417,535,9.53E-06,A,Cement 1,,Sand A,CS1,10,10,5.6,5.6,3,3,0.4,0.4,60,60,Cramer
8,4676,5189,5738,6524,674,702,765,721,4475667,4573000,4545500,5194667,0.18,0.18,0.18,0.18,436,513,561,573,8.49E-06,A,Cement 1,,Sand A,CS2,18,18,5.8,6,2.25,1.75,0.4,0.4,85,85,Cramer
9,5070,5621,6337,6758,680,702,785,866,3241333,3425333,3677000,4209000,0.19,0.2,0.19,0.19,424,447,483,488,9.32E-06,A,Cement 1,,Sand A,CS3,15,10.5,5.5,5,1.25,1.75,0.4,0.4,85,100,Cramer
10,4652,5018,5420,6118,655,718,761,857,3653667,3422000,4205167,4630000,0.19,0.18,0.2,0.21,415,416,473,491,9.42E-06,A,Cement 1,,Sand A,CS4,18,20,4.3,5.6,1.75,2,0.4,0.4,85,85,Cramer
11,4429,4792,5584,6316,673,717,783,887,4295000,4314667,4656167,5035000,0.22,0.22,0.21,0.22,454,440,475,597,9.66E-06,A,Cement 1,,Sand A,CS5,14.5,14,5.4,5.4,2.25,2.25,0.4,0.4,85,85,Cramer
12,4492,4861,5284,5926,631,698,708,817,4267167,4527500,4573667,5311333,0.15,0.16,0.13,0.19,361,416,438,485,1.08E-05,A,Cement 1,,Sand A,CS6,29,29,5.7,6.5,1,1.25,0.4,0.4,85,85,Cramer
13,4690,5188,5737,6460,761,717,795,837,4678667,5408000,5283167,5402833,0.2,0.23,0.21,0.2,499,530,561,654,8.57E-06,A,Cement 1,,Sand A,CS7,12,13,5.2,5.5,2.75,2.25,0.4,0.4,125,125,Cramer
14,4611,5217,5564,5828,598,592,694,798,3384833,3606667,3885000,4731667,0.18,0.19,0.2,0.22,352,428,428,566,9.34E-06,A,Cement 1,,Sand A,CS8,11.5,10,6.3,4.7,2.25,1.75,0.4,0.4,85,85,Cramer
15,4955,5681,5999,6858,750,731,768,851,3749000,3937000,4362667,4622667,0.18,0.21,0.2,0.22,437,489,476,582,9.22E-06,A,Cement 1,,Sand A,CS9,11,11,6.1,5.1,2,2,0.4,0.4,125,125,Cramer
16,4223,4789,5377,6129,700,744,824,898,3582333,3904833,4708333,4781667,0.16,0.17,0.2,0.18,370,399,488,523,9.45E-06,A-S,Cement 1 + Slag 1,,Sand A,GG1,16,16.5,4.8,5.2,1.25,2,0.4,0.4,40,50,Cramer
17,4072,4823,4940,6085,720,777,855,993,3300000,3723000,4146000,4517833,0.19,0.19,0.2,0.2,448,431,474,521,1.01E-05,A-S,Cement 1 + Slag 1,,Sand A,GG2,10.5,11,4.8,4.6,3,3,0.4,0.4,35,35,Cramer
18,3579,4426,4686,5369,661,728,759,869,3553667,3779333,4534500,4647000,0.17,0.18,0.22,0.19,443,452,464,473,9.50E-06,A-S,Cement 1 + Slag 1,,Sand A,GG3,13.5,13,6.1,5.6,3,3,0.4,0.4,40,37,Cramer
19,3925,4595,5375,6084,734,787,783,962,4326667,4195333,4311333,4906000,0.2,0.2,0.18,0.2,392,443,471,539,9.04E-06,A-S,Cement 1 + Slag 1,,Sand A,GG4,12.5,12.5,5.4,5.3,2.75,2.25,0.4,0.4,53,50,Cramer
20,3891,4521,5070,5531,671,794,830,911,3926667,3962000,4435000,4833000,0.22,0.21,0.2,0.2,394,463,487,559,9.43E-06,A-S,Cement 1 + Slag 1,,Sand A,GG5,21,20.5,5.3,5.6,1.25,2,0.4,0.4,85,85,Cramer
21,3944,4474,4825,5590,612,643,753,850,3055000,3168833,3720667,4426167,0.17,0.18,0.16,0.21,354,436,434,463,9.51E-06,A-S,Cement 1 + Slag 1,,Sand A,GG6,14,14,5.4,4.5,3,2,0.4,0.4,50,45,Cramer
