Mix Number,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day,CTE 28 Day,Mix Proportion,Cement,SCM,Fine Aggregate,Coarse Aggregate,AEA - A,% Air - A,Slump - A,WCM - A,WRA - A
1,606,684,676,817,9.34e-06,0.0,1.0,0.0,0.0,0.0,12.0,6.0,2.25,0.4,50.0
2,623,605,675,829,9.78e-06,0.0,1.0,0.0,0.0,1.0,11.0,6.2,2.75,0.4,65.0
3,644,665,758,816,9.18e-06,0.0,1.0,0.0,0.0,2.0,12.0,4.3,1.25,0.4,60.0
4,613,630,682,734,8.67e-06,0.0,1.0,0.0,0.0,3.0,11.0,5.7,2.75,0.4,60.0
5,631,688,782,904,9.58e-06,0.0,1.0,0.0,0.0,4.0,9.0,5.1,1.25,0.4,120.0
6,612,613,666,804,9.5e-06,0.0,1.0,0.0,0.0,5.0,12.0,5.3,2.25,0.4,60.0
7,672,646,719,772,9.53e-06,0.0,1.0,0.0,0.0,6.0,10.0,5.6,3.0,0.4,60.0
8,674,702,765,721,8.49e-06,0.0,1.0,0.0,0.0,7.0,18.0,5.8,2.25,0.4,85.0
9,680,702,785,866,9.32e-06,0.0,1.0,0.0,0.0,8.0,15.0,5.5,1.25,0.4,85.0
10,655,718,761,857,9.42e-06,0.0,1.0,0.0,0.0,9.0,18.0,4.3,1.75,0.4,85.0
11,673,717,783,887,9.66e-06,0.0,1.0,0.0,0.0,10.0,14.5,5.4,2.25,0.4,85.0
12,631,698,708,817,1.0800000000000002e-05,0.0,1.0,0.0,0.0,11.0,29.0,5.7,1.0,0.4,85.0
13,761,717,795,837,8.57e-06,0.0,1.0,0.0,0.0,12.0,12.0,5.2,2.75,0.4,125.0
14,598,592,694,798,9.34e-06,0.0,1.0,0.0,0.0,13.0,11.5,6.3,2.25,0.4,85.0
15,750,731,768,851,9.22e-06,0.0,1.0,0.0,0.0,14.0,11.0,6.1,2.0,0.4,125.0
16,700,744,824,898,9.45e-06,1.0,1.0,1.0,0.0,0.0,16.0,4.8,1.25,0.4,40.0
17,720,777,855,993,1.01e-05,1.0,1.0,1.0,0.0,1.0,10.5,4.8,3.0,0.4,35.0
18,661,728,759,869,9.5e-06,1.0,1.0,1.0,0.0,2.0,13.5,6.1,3.0,0.4,40.0
19,734,787,783,962,9.04e-06,1.0,1.0,1.0,0.0,3.0,12.5,5.4,2.75,0.4,53.0
20,671,794,830,911,9.43e-06,1.0,1.0,1.0,0.0,4.0,21.0,5.3,1.25,0.4,85.0
21,612,643,753,850,9.51e-06,1.0,1.0,1.0,0.0,5.0,14.0,5.4,3.0,0.4,50.0
22,705,809,837,916,9.74e-06,1.0,1.0,1.0,0.0,6.0,11.5,4.4,2.25,0.4,30.0
23,751,817,954,994,8.94e-06,1.0,1.0,1.0,0.0,7.0,18.5,4.8,1.25,0.4,85.0
24,717,780,795,914,9.59e-06,1.0,1.0,1.0,0.0,8.0,12.0,5.0,2.25,0.4,80.0
25,692,791,834,922,9.44e-06,1.0,1.0,1.0,0.0,9.0,22.5,5.8,2.0,0.4,85.0
26,749,860,880,955,9.29e-06,1.0,1.0,1.0,0.0,10.0,15.5,4.4,1.75,0.4,80.0
27,772,792,870,913,1.1e-05,1.0,1.0,1.0,0.0,11.0,17.0,5.7,2.25,0.4,120.0
28,829,942,908,988,9.04e-06,1.0,1.0,1.0,0.0,12.0,31.0,5.6,1.25,0.4,85.0
29,667,705,785,895,9.5e-06,1.0,1.0,1.0,0.0,13.0,12.0,5.0,2.75,0.4,80.0
30,815,836,964,973,9.39e-06,1.0,1.0,1.0,0.0,14.0,17.0,6.2,2.25,0.4,125.0
31,663,671,789,853,9.52e-06,2.0,1.0,3.0,0.0,0.0,16.0,4.5,2.75,0.38,0.0
32,597,610,707,789,9.85e-06,2.0,1.0,3.0,0.0,1.0,16.5,4.2,2.75,0.37,0.0
33,629,735,731,898,9.34e-06,2.0,1.0,3.0,0.0,2.0,15.5,4.8,3.0,0.37,0.0
34,625,600,765,888,9.18e-06,2.0,1.0,3.0,0.0,3.0,16.0,5.3,3.0,0.38,0.0
35,589,633,672,768,9.65e-06,2.0,1.0,3.0,0.0,4.0,16.0,5.6,3.0,0.4,25.0
36,591,651,788,878,9.71e-06,2.0,1.0,3.0,0.0,5.0,17.5,4.8,2.75,0.36,0.0
37,663,749,765,871,9.61e-06,2.0,1.0,3.0,0.0,6.0,18.0,5.2,3.0,0.38,0.0
38,642,765,718,897,8.68e-06,2.0,1.0,3.0,0.0,7.0,19.0,5.1,3.0,0.4,10.0
39,683,685,773,933,9.62e-06,2.0,1.0,3.0,0.0,8.0,16.0,4.1,2.25,0.39,0.0
40,712,716,792,907,9.6e-06,2.0,1.0,3.0,0.0,9.0,17.5,4.9,2.0,0.4,45.0
41,688,776,878,1080,9.66e-06,2.0,1.0,3.0,0.0,10.0,13.5,3.4,2.0,0.4,50.0
42,623,692,783,903,1.1e-05,2.0,1.0,3.0,0.0,11.0,16.0,4.7,2.0,0.4,30.0
43,694,731,772,959,8.6e-06,2.0,1.0,3.0,0.0,12.0,12.0,5.3,3.0,0.4,85.0
44,582,638,789,936,1e-05,2.0,1.0,3.0,0.0,13.0,15.0,4.5,3.0,0.39,0.0
45,726,744,808,992,9.48e-06,2.0,1.0,3.0,0.0,14.0,12.0,5.1,1.75,0.4,85.0
46,731,863,867,845,9.76e-06,1.0,2.0,1.0,0.0,0.0,10.0,6.1,2.75,0.4,30.0
47,830,867,933,943,1e-05,1.0,2.0,1.0,0.0,1.0,8.0,4.7,2.25,0.4,32.0
48,715,855,833,871,9.89e-06,1.0,2.0,1.0,0.0,6.0,12.0,5.9,2.25,0.4,22.0
49,805,899,966,776,8.97e-06,1.0,2.0,1.0,0.0,7.0,16.0,6.1,1.25,0.4,85.0
50,751,739,845,926,9.57e-06,1.0,2.0,1.0,0.0,8.0,9.5,4.3,1.25,0.4,65.0
