Mix Proportion,Cement,SCM,Fine Aggregate,Coarse Aggregate,AEA - B,% Air - B,Slump - B,WCM - B,WRA - B,CS 7 Day,CS 14 Day,CS 28 Day,CS 90 Day,MoE 7 Day,MoE 14 Day,MoE 28 Day,MoE 90 Day,PR 7 Day,PR 14 Day,PR 28 Day,PR 90 Day,STS 7 Day,STS 14 Day,STS 28 Day,STS 90 Day
1,1,0,0,0,16.5,5.2,2,0.4,50,4223,4789,5377,6129,3582333,3904833,4708333,4781667,0.16,0.17,0.2,0.18,370,399,488,523
1,1,0,0,0,11,4.6,3,0.4,35,4072,4823,4940,6085,3300000,3723000,4146000,4517833,0.19,0.19,0.2,0.2,448,431,474,521
1,1,0,0,0,13,5.6,3,0.4,37,3579,4426,4686,5369,3553667,3779333,4534500,4647000,0.17,0.18,0.22,0.19,443,452,464,473
1,1,0,0,0,12.5,5.3,2.25,0.4,50,3925,4595,5375,6084,4326667,4195333,4311333,4906000,0.2,0.2,0.18,0.2,392,443,471,539
1,1,0,0,0,20.5,5.6,2,0.4,85,3891,4521,5070,5531,3926667,3962000,4435000,4833000,0.22,0.21,0.2,0.2,394,463,487,559
1,1,0,0,0,14,4.5,2,0.4,45,3944,4474,4825,5590,3055000,3168833,3720667,4426167,0.17,0.18,0.16,0.21,354,436,434,463
1,1,0,0,1,14,5.1,2.25,0.4,30,3891,4513,5127,5972,3363833,3612500,3912333,4460167,0.19,0.19,0.22,0.19,414,448,528,529
1,1,0,0,1,21,4.9,1.25,0.4,85,4767,4985,5815,6171,4647500,4996167,4945500,5166500,0.19,0.17,0.18,0.16,466,591,581,588
1,1,0,0,1,11.5,4.6,2.25,0.4,80,5029,5807,6308,7211,3050500,3297833,3662500,4290167,0.19,0.21,0.21,0.21,467,494,503,592
1,1,0,0,1,22.5,5.8,1.25,0.4,85,4120,4737,5389,6081,3381333,3430000,3771000,4724167,0.2,0.19,0.18,0.22,355,410,469,550
1,1,0,0,1,15.5,4.1,1.25,0.4,80,4955,5798,6376,7240,4345667,4531000,4930833,5549000,0.19,0.2,0.2,0.23,472,429,628,663
1,1,0,0,1,17,5.5,2.25,0.4,122,4532,5046,5606,6289,4617000,4891333,5439167,5825167,0.16,0.19,0.18,0.17,454,464,574,635
1,1,0,0,1,31,5.2,1.25,0.4,85,4552,5477,5810,6402,4962000,5043333,5269167,6044000,0.22,0.21,0.21,0.21,433,425,509,581
1,1,0,0,1,12.5,6.3,3,0.4,75,3915,4858,5181,5659,3260667,3300333,3543167,4310333,0.21,0.19,0.19,0.22,382,404,448,469
1,1,0,0,1,17,5,2,0.4,125,4942,5616,6233,6770,3719000,4095000,4242667,4700667,0.19,0.2,0.2,0.21,500,499,577,633
2,1,1,0,0,18.5,5.5,3,0.38,0,4297,4820,5362,6479,4043167,3924467,4218833,5248167,0.18,0.17,0.17,0.19,394,435,472,510
2,1,1,0,0,18.5,5.2,3,0.37,0,3776,4597,5119,5934,3447167,3663833,4100333,4616500,0.18,0.19,0.18,0.2,379,432,478,544
2,1,1,0,0,16,5,3,0.37,0,3842,4278,5001,5910,3719167,3932167,4333333,4802000,0.19,0.17,0.19,0.21,397,423,498,513
2,1,1,0,0,16.5,4.5,3,0.39,0,4014,4821,5489,6621,4138500,4449000,4599667,5330000,0.18,0.18,0.18,0.18,399,438,525,536
2,1,1,0,0,16,4.8,2.25,0.4,25,4013,4650,5177,6268,3981833,4234000,4610167,5219500,0.2,0.22,0.2,0.21,397,440,509,520
2,1,1,0,0,18.5,4.6,2.75,0.36,0,3383,3690,4226,5139,2922833,3073167,4094833,4822667,0.16,0.17,0.19,0.21,328,365,366,463
2,1,1,0,1,18.5,4.6,3,0.38,0,3892,4790,5315,6353,3667833,3786167,4079833,5321833,0.18,0.19,0.21,0.21,417,458,438,524
2,1,1,0,1,20,5.1,2.25,0.4,10,4404,5203,5959,6746,4272667,4776000,5141667,5569000,0.18,0.18,0.19,0.18,438,535,519,561
2,1,1,0,1,18,5,2.25,0.39,0,4347,5425,6312,7661,3191167,3312333,3510667,4627333,0.2,0.23,0.18,0.22,440,473,476,632
2,1,1,0,1,18,4.3,2.75,0.4,45,4388,4990,5596,6648,3455167,3433333,4006000,4529667,0.19,0.19,0.2,0.21,409,424,484,558
2,1,1,0,1,14,3.7,2.75,0.4,50,4965,5885,6918,7904,4052000,4562333,4921667,5278000,0.22,0.22,0.21,0.2,455,498,491,632
2,1,1,0,1,16.5,4.6,2,0.4,35,4592,5275,6182,7313,4382000,4529167,4817500,5497667,0.14,0.16,0.16,0.15,462,505,527,625
2,1,1,0,1,13.5,5.1,3,0.4,65,3436,3889,4497,5260,4495333,4712500,5097333,5527000,0.2,0.19,0.18,0.2,458,480,526,599
2,1,1,0,1,15,5.8,2.25,0.38,0,4138,4351,4885,5574,3732833,3426167,3983500,4500000,0.19,0.17,0.2,0.23,379,390,425,513
2,1,1,0,1,11,5.3,3,0.4,80,4197,4952,5597,6799,3446667,3963333,4385500,4743833,0.18,0.19,0.2,0.2,420,496,496,585
1,2,0,0,0,12,5.5,2,0.4,33,4144,4695,5137,5999,3912500,4012500,4233667,4767333,0.2,0.2,0.17,0.19,431,456,496,502
1,2,0,0,0,9,5.4,3,0.4,32,3839,4503,4921,5520,3483667,3748333,3942167,4801000,0.18,0.21,0.18,0.2,411,462,482,526
