Mix Number,MixP_A-S,MixP_A-F,Cem_1,Cem_2,SCM_Slag,SCM_FlyAsh,FineA_SandA,FineA_SandB,CoarseA_GG,CoarseA_CS,AEA - A,% Air - A,Slump - A,WCM - A,WRA - A,CTE 28 Day (x10^6),MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day
1,1,0,1,0,1,0,1,0,1,0,16,4.8,1.25,0.4,40,9.45,700,744,824,898
2,1,0,1,0,1,0,1,0,1,0,10.5,4.8,3,0.4,35,10.1,720,777,855,993
3,1,0,1,0,1,0,1,0,1,0,13.5,6.1,3,0.4,40,9.5,661,728,759,869
4,1,0,1,0,1,0,1,0,1,0,12.5,5.4,2.75,0.4,53,9.04,734,787,783,962
5,1,0,1,0,1,0,1,0,1,0,21,5.3,1.25,0.4,85,9.43,671,794,830,911
6,1,0,1,0,1,0,1,0,1,0,14,5.4,3,0.4,50,9.51,612,643,753,850
7,1,0,1,0,1,0,1,0,0,1,11.5,4.4,2.25,0.4,30,9.74,705,809,837,916
8,1,0,1,0,1,0,1,0,0,1,18.5,4.8,1.25,0.4,85,8.94,751,817,954,994
9,1,0,1,0,1,0,1,0,0,1,12,5,2.25,0.4,80,9.59,717,780,795,914
10,1,0,1,0,1,0,1,0,0,1,22.5,5.8,2,0.4,85,9.44,692,791,834,922
11,1,0,1,0,1,0,1,0,0,1,15.5,4.4,1.75,0.4,80,9.29,749,860,880,955
12,1,0,1,0,1,0,1,0,0,1,17,5.7,2.25,0.4,120,11,772,792,870,913
13,1,0,1,0,1,0,1,0,0,1,31,5.6,1.25,0.4,85,9.04,829,942,908,988
14,1,0,1,0,1,0,1,0,0,1,12,5,2.75,0.4,80,9.5,667,705,785,895
15,1,0,1,0,1,0,1,0,0,1,17,6.2,2.25,0.4,125,9.39,815,836,964,973
16,0,1,1,0,0,1,1,0,1,0,16,4.5,2.75,0.38,0,9.52,663,671,789,853
17,0,1,1,0,0,1,1,0,1,0,16.5,4.2,2.75,0.37,0,9.85,597,610,707,789
18,0,1,1,0,0,1,1,0,1,0,15.5,4.8,3,0.37,0,9.34,629,735,731,898
19,0,1,1,0,0,1,1,0,1,0,16,5.3,3,0.38,0,9.18,625,600,765,888
20,0,1,1,0,0,1,1,0,1,0,16,5.6,3,0.4,25,9.65,589,633,672,768
21,0,1,1,0,0,1,1,0,1,0,17.5,4.8,2.75,0.36,0,9.71,591,651,788,878
22,0,1,1,0,0,1,1,0,0,1,18,5.2,3,0.38,0,9.61,663,749,765,871
23,0,1,1,0,0,1,1,0,0,1,19,5.1,3,0.4,10,8.68,642,765,718,897
24,0,1,1,0,0,1,1,0,0,1,16,4.1,2.25,0.39,0,9.62,683,685,773,933
25,0,1,1,0,0,1,1,0,0,1,17.5,4.9,2,0.4,45,9.6,712,716,792,907
26,0,1,1,0,0,1,1,0,0,1,13.5,3.4,2,0.4,50,9.66,688,776,878,1080
27,0,1,1,0,0,1,1,0,0,1,16,4.7,2,0.4,30,11,623,692,783,903
28,0,1,1,0,0,1,1,0,0,1,12,5.3,3,0.4,85,8.6,694,731,772,959
29,0,1,1,0,0,1,1,0,0,1,15,4.5,3,0.39,0,10,582,638,789,936
30,0,1,1,0,0,1,1,0,0,1,12,5.1,1.75,0.4,85,9.48,726,744,808,992
31,1,0,0,1,1,0,1,0,1,0,10,6.1,2.75,0.4,30,9.76,731,863,867,845
32,1,0,0,1,1,0,1,0,1,0,8,4.7,2.25,0.4,32,10,830,867,933,943
33,1,0,0,1,1,0,1,0,0,1,12,5.9,2.25,0.4,22,9.89,715,855,833,871
34,1,0,0,1,1,0,1,0,0,1,16,6.1,1.25,0.4,85,8.97,805,899,966,776
35,1,0,0,1,1,0,1,0,0,1,9.5,4.3,1.25,0.4,65,9.57,751,739,845,926
36,1,0,0,1,1,0,1,0,1,0,12,5.7,2.25,0.4,25,9.61,705,831,833,832
37,1,0,0,1,1,0,1,0,1,0,9,4.5,2.25,0.4,20,9.79,706,806,868,922
38,1,0,0,1,1,0,1,0,0,1,11,4.9,2.25,0.4,25,9.61,704,863,875,927
39,1,0,0,1,1,0,1,0,0,1,16,6,1.75,0.4,80,8.99,849,902,972,1057
40,1,0,0,1,1,0,1,0,0,1,8,4.6,2,0.4,70,9.47,668,750,836,846
41,0,1,0,1,0,1,1,0,1,0,12,5.2,3,0.37,0,9.56,763,740,804,839
42,0,1,0,1,0,1,1,0,1,0,12.5,5.9,3,0.37,0,9.88,604,740,746,811
43,0,1,0,1,0,1,1,0,0,1,11.5,5,3,0.37,0,9.48,654,771,892,952
44,0,1,0,1,0,1,1,0,0,1,18,6,2.75,0.39,0,8.81,727,798,880,968
45,0,1,0,1,0,1,1,0,0,1,13,5.5,3,0.39,0,9.55,687,694,781,877
46,0,1,0,1,0,1,1,0,1,0,19,6.1,3,0.38,0,9.48,668,661,746,848
47,0,1,0,1,0,1,1,0,1,0,16,5.9,3,0.37,0,9.71,627,656,827,838
48,0,1,0,1,0,1,1,0,0,1,16,5,2,0.38,0,9.78,690,795,810,884
49,0,1,0,1,0,1,1,0,0,1,22,5.4,1.75,0.4,0,9.13,666,765,891,897
50,0,1,0,1,0,1,1,0,0,1,15,5.2,2.75,0.39,0,9.47,590,695,784,833
51,0,1,0,1,0,1,1,0,1,0,18,5.6,3,0.37,0,9.44,661,707,808,822
52,0,1,0,1,0,1,1,0,1,0,15,4.2,3,0.37,0,9.69,742,799,812,1009
53,0,1,0,1,0,1,1,0,0,1,20,6.2,2.25,0.37,0,9.72,674,757,825,948
54,0,1,0,1,0,1,1,0,0,1,22,4.9,2,0.39,0,9.06,780,822,834,916
55,0,1,0,1,0,1,1,0,0,1,17,5.5,3,0.39,0,9.48,666,696,814,969
56,1,0,1,0,1,0,1,0,1,0,16,5.8,2.25,0.4,40,9.5,664,731,789,839
57,1,0,1,0,1,0,1,0,1,0,16,5.7,2.75,0.4,35,10.1,604,700,696,850
58,1,0,1,0,1,0,1,0,0,1,16,4.6,2.25,0.4,30,9.57,687,815,826,957
59,1,0,1,0,1,0,1,0,0,1,22,5,1.25,0.4,85,8.62,698,794,805,926
60,1,0,1,0,1,0,1,0,0,1,12,4.8,2,0.4,80,9.47,640,692,766,882
61,0,1,1,0,0,1,1,0,1,0,23,6.3,3,0.38,0,9.48,584,612,684,826
62,0,1,1,0,0,1,1,0,1,0,20.5,4.2,2.75,0.37,0,9.88,560,686,721,876
63,0,1,1,0,0,1,1,0,0,1,23,4.8,3,0.38,0,9.5,679,682,796,923
64,0,1,1,0,0,1,1,0,0,1,26.5,4.8,2.25,0.4,10,8.6,611,757,781,939
65,0,1,1,0,0,1,1,0,0,1,18,3.6,2,0.39,0,9.58,649,738,756,877
